,date_added
147,"October 15, 2020"
148,"February 14, 2020"
149,"December 1, 2018"
150,"April 1, 2018"
151,"January 15, 2018"
152,"September 1, 2017"
153,"July 1, 2020"
154,"December 14, 2020"
155,"April 14, 2020"
156,"October 2, 2020"
157,"October 14, 2020"
158,"November 4, 2020"
159,"November 17, 2017"
160,"December 5, 2019"
161,"November 30, 2018"
162,"December 20, 2016"
163,"January 1, 2020"
164,"December 1, 2019"
165,"November 1, 2020"
166,"April 1, 2018"
167,"November 2, 2019"
168,"January 17, 2020"
169,"October 16, 2016"
170,"December 15, 2019"
171,"December 9, 2019"
172,"November 15, 2017"
173,"April 20, 2019"
174,"January 26, 2018"
175,"January 7, 2020"
176,"July 15, 2018"
177,"November 27, 2020"
178,"October 2, 2020"
179,"August 4, 2020"
180,"January 1, 2017"
181,"November 1, 2016"
182,"December 25, 2017"
183,"February 21, 2020"
184,"September 17, 2019"
185,"February 15, 2017"
186,"November 4, 2019"
187,"April 30, 2019"
188,"September 1, 2017"
189,"July 6, 2020"
190,"May 1, 2017"
191,"March 5, 2019"
192,"April 13, 2019"
193,"August 27, 2018"
194,"March 20, 2020"
195,"November 10, 2020"
196,"April 17, 2019"
197,"May 4, 2018"
198,"October 26, 2019"
199,"December 28, 2020"
200,"September 21, 2020"
201,"March 14, 2019"
202,"March 12, 2019"
203,"October 15, 2016"
204,"April 25, 2019"
205,"January 16, 2021"
206,"July 22, 2018"
207,"April 28, 2017"
208,"June 12, 2018"
209,"November 5, 2020"
210,"December 1, 2019"
211,"September 1, 2016"
212,"April 15, 2017"
213,"September 25, 2020"
214,"January 1, 2019"
215,"June 6, 2019"
216,"October 4, 2019"
217,"August 28, 2020"
218,"November 11, 2020"
219,"November 1, 2019"
220,"November 1, 2013"
221,"October 15, 2017"
222,"February 27, 2019"
223,"April 29, 2020"
224,"March 16, 2019"
225,"January 1, 2019"
226,"January 16, 2018"
227,"February 14, 2020"
228,"June 5, 2019"
229,"November 11, 2019"
230,"April 1, 2018"
231,"August 1, 2017"
232,"October 1, 2011"
233,"December 1, 2017"
234,"January 24, 2020"
235,"January 27, 2019"
236,"October 25, 2019"
237,"May 22, 2019"
238,"December 1, 2020"
239,"June 1, 2019"
240,"July 1, 2020"
241,"July 1, 2020"
242,"December 11, 2020"
243,"December 13, 2019"
244,"March 31, 2020"
245,"December 28, 2018"
246,"November 15, 2020"
247,"December 4, 2015"
248,"July 30, 2018"
249,"November 12, 2020"
250,"July 1, 2020"
251,"November 1, 2018"
252,"February 19, 2018"
253,"June 18, 2020"
254,"October 1, 2018"
255,"September 25, 2018"
256,"November 1, 2019"
257,"May 1, 2017"
259,"December 15, 2017"
260,"March 9, 2018"
261,"October 1, 2020"
262,"March 20, 2019"
263,"April 4, 2018"
264,"May 15, 2018"
265,"November 1, 2018"
266,"January 1, 2018"
267,"September 1, 2017"
268,"November 15, 2018"
269,"November 1, 2018"
270,"September 10, 2020"
271,"December 31, 2019"
272,"October 22, 2017"
273,"June 1, 2017"
274,"January 1, 2018"
275,"December 31, 2019"
276,"July 1, 2020"
277,"May 1, 2017"
278,"November 1, 2018"
279,"November 1, 2018"
280,"April 19, 2019"
281,"January 15, 2019"
282,"January 15, 2019"
283,"May 1, 2018"
284," August 4, 2017"
285,"February 18, 2016"
286,"February 1, 2019"
287,"April 16, 2019"
288,"September 25, 2019"
289,"April 22, 2020"
290,"May 7, 2019"
291,"August 25, 2016"
292,"June 3, 2017"
293,"December 1, 2018"
294,"October 19, 2018"
295,"December 1, 2016"
296,"April 1, 2019"
297,"January 1, 2019"
298,"June 1, 2020"
299,"September 29, 2018"
300,"May 11, 2020"
301,"January 25, 2018"
302,"August 1, 2020"
303,"November 1, 2019"
304,"July 1, 2020"
305,"June 18, 2019"
306,"September 30, 2018"
307,"October 23, 2018"
308,"October 1, 2011"
309,"June 12, 2020"
310,"March 1, 2018"
311,"January 15, 2019"
312,"July 18, 2017"
313,"November 20, 2019"
314,"September 1, 2020"
315,"December 31, 2019"
316,"June 23, 2015"
317,"August 15, 2018"
318,"May 7, 2020"
319,"August 10, 2018"
320,"September 3, 2020"
321,"April 28, 2016"
322,"October 31, 2020"
323,"October 9, 2019"
324,"April 24, 2020"
325,"May 24, 2019"
326,"May 27, 2019"
327,"December 30, 2018"
328,"December 19, 2019"
329,"December 22, 2020"
330,"March 15, 2020"
331,"August 13, 2020"
332,"March 7, 2018"
333,"July 1, 2017"
334,"January 31, 2019"
335,"July 12, 2019"
336,"August 14, 2017"
337,"September 1, 2018"
338,"November 10, 2018"
339,"December 20, 2019"
340,"April 15, 2017"
341,"August 27, 2020"
342,"December 20, 2018"
343,"April 1, 2020"
344,"February 16, 2018"
345,"October 1, 2018"
346,"December 31, 2019"
347,"March 1, 2018"
348,"January 30, 2020"
349,"March 28, 2019"
350,"July 12, 2019"
351,"November 17, 2020"
352,"January 23, 2020"
353,"October 15, 2017"
354,"March 1, 2018"
355,"May 15, 2018"
356,"July 5, 2020"
357,"January 10, 2020"
358,"October 25, 2020"
359,"October 13, 2017"
360,"December 27, 2016"
361,"May 1, 2018"
362,"December 25, 2020"
363,"March 1, 2020"
364,"March 31, 2020"
365,"November 3, 2017"
366,"January 12, 2021"
367,"September 15, 2018"
368,"February 27, 2020"
369,"March 6, 2020"
370,"August 4, 2017"
371,"August 5, 2019"
372,"December 31, 2020"
373,"December 31, 2019"
374,"July 1, 2017"
375,"January 10, 2018"
376,"August 18, 2018"
377,"April 16, 2020"
378,"January 23, 2020"
379,"June 8, 2018"
380,"June 13, 2020"
381,"June 18, 2020"
382,"June 18, 2020"
383,"March 20, 2019"
384,"May 12, 2020"
385,"July 1, 2020"
386,"May 6, 2016"
387,"May 13, 2018"
388,"June 8, 2018"
389,"November 3, 2017"
390,"September 1, 2017"
391,"January 15, 2018"
392,"July 1, 2019"
393,"December 10, 2020"
394,"October 23, 2020"
395,"January 9, 2018"
396,"August 21, 2020"
397,"April 5, 2019"
398,"December 2, 2020"
399,"November 20, 2020"
400,"March 6, 2018"
401,"August 10, 2017"
402,"March 6, 2020"
403,"March 18, 2019"
404,"August 10, 2018"
405,"March 17, 2020"
406,"October 1, 2020"
407,"May 1, 2020"
408,"June 1, 2020"
409,"June 26, 2020"
410,"July 30, 2019"
411,"December 1, 2017"
412,"May 12, 2017"
413,"August 1, 2017"
414,"May 3, 2019"
415,"February 2, 2019"
416,"January 11, 2019"
417,"July 3, 2018"
418,"February 28, 2020"
419,"May 15, 2019"
420,"January 3, 2020"
421,"April 19, 2018"
422,"August 29, 2020"
423,"November 9, 2018"
424,"June 6, 2019"
425,"March 18, 2020"
426,"May 2, 2020"
427,"August 2, 2020"
428,"June 2, 2020"
429,"February 15, 2019"
430,"November 5, 2020"
431,"October 1, 2019"
432,"October 1, 2019"
433,"January 1, 2020"
434,"May 25, 2020"
435,"January 1, 2018"
436,"January 28, 2019"
437,"February 27, 2020"
438,"March 19, 2020"
439,"March 3, 2020"
440,"February 28, 2020"
441,"September 1, 2020"
442,"September 30, 2016"
443,"September 28, 2020"
444,"July 15, 2017"
445,"June 20, 2017"
446,"December 31, 2019"
447,"April 26, 2019"
448,"April 6, 2018"
449,"July 20, 2018"
450,"June 1, 2017"
451,"September 15, 2019"
452,"November 15, 2020"
453,"June 23, 2017"
454,"January 31, 2020"
455,"January 1, 2020"
456,"December 16, 2018"
457,"May 30, 2017"
458,"March 6, 2019"
459,"April 19, 2017"
460,"May 2, 2019"
461,"May 1, 2019"
462,"August 21, 2019"
463,"September 5, 2019"
464,"July 30, 2019"
465,"October 23, 2019"
466,"November 1, 2019"
467,"April 27, 2019"
468,"November 13, 2020"
469,"April 1, 2019"
470,"September 30, 2020"
471,"April 5, 2016"
472,"October 6, 2020"
473,"September 1, 2019"
474,"November 1, 2019"
475,"September 14, 2018"
476,"September 13, 2019"
477,"February 28, 2020"
478,"April 9, 2018"
479,"February 15, 2019"
480,"July 1, 2017"
481,"July 26, 2018"
482,"March 19, 2019"
483,"March 7, 2017"
484,"January 1, 2017"
485,"April 1, 2018"
486,"April 1, 2018"
487,"April 1, 2018"
488,"April 1, 2018"
489,"August 13, 2020"
490,"June 18, 2020"
491,"June 17, 2020"
492,"April 26, 2019"
493,"January 13, 2021"
494,"January 1, 2017"
495,"March 1, 2019"
496,"October 1, 2020"
497,"December 17, 2020"
498,"June 20, 2019"
499,"November 2, 2018"
500,"September 17, 2020"
501,"August 1, 2017"
502,"February 15, 2019"
503,"May 20, 2020"
504,"September 17, 2019"
505,"January 4, 2019"
506,"June 2, 2020"
507,"May 11, 2020"
508,"December 16, 2018"
509,"November 24, 2020"
510,"November 24, 2020"
511,"December 8, 2020"
512,"August 5, 2020"
513,"December 30, 2018"
514,"July 1, 2018"
515,"April 30, 2019"
516,"July 15, 2019"
517,"September 5, 2020"
518,"April 4, 2020"
519,"November 30, 2018"
520,"December 1, 2020"
521,"December 1, 2020"
522,"November 1, 2019"
523,"March 16, 2019"
524,"March 14, 2017"
525,"March 5, 2020"
526,"September 10, 2020"
527,"June 27, 2019"
528,"July 24, 2020"
529,"September 28, 2018"
530,"January 25, 2019"
531,"December 16, 2020"
532,"October 1, 2018"
533,"December 15, 2018"
534,"May 1, 2018"
535,"October 2, 2015"
536,"September 28, 2020"
537,"October 15, 2017"
538,"August 1, 2017"
539,"January 3, 2020"
540,"July 15, 2019"
541,"May 4, 2018"
542,"March 21, 2017"
543,"July 25, 2019"
544,"October 16, 2019"
545,"June 27, 2019"
546,"January 29, 2019"
547,"May 9, 2019"
548,"June 18, 2019"
550,"April 30, 2019"
551,"October 16, 2015"
552,"July 1, 2018"
553,"April 14, 2019"
554,"March 21, 2019"
555,"December 31, 2019"
556," December 23, 2018"
557,"November 1, 2019"
558,"August 16, 2019"
559,"September 8, 2017"
560,"January 8, 2021"
561,"August 1, 2016"
562,"March 9, 2019"
563,"October 12, 2018"
564,"October 1, 2017"
565,"June 16, 2017"
566,"May 23, 2017"
567,"February 15, 2017"
568,"January 17, 2018"
569,"December 31, 2019"
570,"March 20, 2020"
571,"May 4, 2020"
572,"April 14, 2017"
573,"August 1, 2019"
574,"December 1, 2020"
575,"January 17, 2020"
576,"November 22, 2017"
577,"December 2, 2020"
578,"July 18, 2017"
579,"December 21, 2020"
580,"September 15, 2018"
581,"November 1, 2018"
582,"September 16, 2016"
583,"May 29, 2018"
584,"February 5, 2020"
585,"October 29, 2019"
586,"June 2, 2019"
587,"April 1, 2019"
588,"January 1, 2020"
589,"September 6, 2019"
590,"January 1, 2020"
591,"September 16, 2018"
592,"January 1, 2020"
593,"December 19, 2018"
594,"November 1, 2018"
595,"April 29, 2019"
596,"December 16, 2018"
597,"October 19, 2018"
598,"August 2, 2019"
599,"March 15, 2017"
600,"December 11, 2016"
601,"January 2, 2021"
602,"October 25, 2019"
603,"December 6, 2019"
604,"December 1, 2016"
605,"June 13, 2020"
606,"February 15, 2018"
607,"December 14, 2016"
608,"December 27, 2018"
609,"November 15, 2019"
610,"December 1, 2015"
611,"June 24, 2020"
612,"November 29, 2019"
613,"December 19, 2020"
614,"September 5, 2018"
615,"December 1, 2017"
616,"February 24, 2019"
617,"May 15, 2016"
618,"August 19, 2018"
619,"November 1, 2019"
620,"September 23, 2016"
621,"November 11, 2020"
622,"March 4, 2020"
623,"January 19, 2019"
624,"August 1, 2017"
625,"December 1, 2019"
626,"December 1, 2019"
627,"December 1, 2019"
628,"January 1, 2017"
629,"September 8, 2017"
630,"August 1, 2016"
631,"December 7, 2020"
632,"May 15, 2020"
633,"September 3, 2020"
634,"September 17, 2019"
635,"December 25, 2018"
636,"December 28, 2018"
637,"February 2, 2019"
638,"November 24, 2019"
639,"June 14, 2019"
640,"September 4, 2020"
641,"May 8, 2019"
642,"February 15, 2019"
643,"June 12, 2020"
644,"February 15, 2019"
645,"December 1, 2018"
646,"February 7, 2020"
647,"April 12, 2019"
648,"March 6, 2015"
649,"November 1, 2013"
650,"July 9, 2019"
651,"March 2, 2018"
652,"June 7, 2018"
653,"June 1, 2018"
654,"October 16, 2017"
655,"August 4, 2018"
656,"August 7, 2017"
657,"August 7, 2017"
658,"August 7, 2017"
659,"October 24, 2018"
660,"August 7, 2017"
661,"August 7, 2017"
662,"August 7, 2017"
663,"January 13, 2019"
664,"April 30, 2018"
665,"April 17, 2020"
666,"January 1, 2019"
667,"June 19, 2020"
668,"September 16, 2020"
669,"July 10, 2018"
670,"December 1, 2019"
671,"March 13, 2020"
672,"March 1, 2020"
673,"March 1, 2018"
674,"January 5, 2017"
675,"December 21, 2019"
676,"December 12, 2018"
677,"December 1, 2016"
678,"August 30, 2019"
679,"January 1, 2019"
680,"January 11, 2019"
681,"March 30, 2017"
682,"May 14, 2019"
683,"April 5, 2019"
684,"December 25, 2018"
685,"May 31, 2019"
686,"October 5, 2020"
687,"October 1, 2019"
688,"October 1, 2019"
689,"January 18, 2018"
690," December 15, 2018"
691,"June 1, 2018"
692,"January 1, 2021"
693,"August 8, 2019"
694,"March 8, 2018"
695,"March 11, 2018"
696,"August 21, 2017"
697,"December 21, 2018"
698,"April 1, 2017"
699,"January 1, 2018"
700,"August 7, 2019"
701,"March 26, 2020"
702,"August 22, 2020"
703,"June 4, 2020"
704,"November 6, 2020"
705,"November 6, 2020"
706,"March 31, 2020"
707,"April 1, 2017"
708,"April 1, 2018"
709,"April 1, 2018"
710,"April 1, 2018"
711,"March 1, 2018"
712,"March 10, 2017"
713,"December 6, 2019"
714,"July 26, 2020"
715,"April 12, 2019"
716,"April 15, 2016"
717,"November 1, 2017"
718,"July 25, 2018"
719,"December 15, 2019"
720,"June 4, 2018"
721,"November 20, 2019"
722,"September 14, 2018"
723,"March 8, 2019"
724,"July 31, 2019"
725,"July 2, 2019"
726,"July 2, 2019"
727,"September 5, 2018"
728,"September 1, 2018"
729,"December 31, 2019"
730,"October 12, 2017"
731,"October 23, 2020"
732,"August 15, 2017"
733,"October 1, 2017"
734,"September 18, 2017"
735,"February 14, 2019"
736,"March 21, 2020"
737,"October 1, 2017"
738,"October 1, 2017"
739,"October 1, 2017"
740,"July 1, 2017"
741,"September 1, 2020"
742,"October 1, 2017"
743,"October 1, 2017"
744,"October 1, 2017"
745,"October 1, 2017"
746,"October 1, 2017"
747,"October 1, 2017"
748,"November 22, 2017"
749,"March 14, 2019"
750,"September 27, 2019"
751,"August 21, 2018"
752,"July 26, 2018"
753,"November 1, 2018"
754,"August 19, 2018"
755,"December 16, 2016"
756,"April 1, 2018"
757,"November 1, 2018"
758,"October 1, 2020"
759,"August 2, 2019"
760,"December 31, 2017"
761,"February 20, 2018"
762,"October 1, 2018"
763,"May 9, 2019"
764,"October 15, 2020"
765,"December 1, 2018"
766,"December 31, 2015"
767,"March 1, 2018"
768,"August 1, 2016"
769,"September 21, 2018"
770,"December 31, 2019"
771,"September 30, 2020"
772,"March 29, 2019"
773,"December 31, 2019"
774,"July 5, 2020"
775,"February 28, 2017"
776,"November 20, 2019"
777,"October 1, 2016"
778,"October 1, 2016"
779,"August 29, 2018"
780,"March 1, 2017"
781,"August 1, 2018"
782,"March 1, 2017"
783,"February 1, 2019"
784,"March 13, 2020"
785,"October 16, 2015"
786,"July 21, 2019"
787,"November 21, 2017"
788,"May 22, 2017"
789,"June 19, 2019"
790,"November 25, 2016"
791,"September 19, 2016"
792,"February 27, 2019"
793,"April 23, 2019"
794,"November 20, 2019"
795,"November 20, 2019"
796,"December 8, 2018"
797,"January 1, 2020"
798,"April 18, 2019"
799,"May 6, 2020"
800,"August 1, 2018"
801,"January 12, 2019"
802,"March 5, 2019"
803,"January 1, 2017"
804,"October 26, 2018"
805,"November 24, 2020"
806,"June 8, 2020"
807,"January 5, 2018"
808,"February 1, 2018"
809,"June 5, 2020"
810,"August 25, 2017"
811,"August 15, 2016"
812,"April 5, 2018"
813,"February 15, 2019"
814,"September 14, 2018"
815,"May 19, 2017"
816,"November 1, 2017"
817,"August 15, 2016"
818,"February 21, 2012"
819," July 1, 2017"
820,"December 20, 2019"
821,"August 1, 2018"
822,"October 19, 2020"
823,"April 15, 2016"
824,"October 15, 2017"
825,"November 2, 2019"
826,"June 7, 2019"
827,"August 1, 2017"
828,"March 15, 2020"
829,"September 30, 2018"
830,"May 20, 2020"
831,"December 31, 2019"
832,"October 22, 2020"
833,"June 8, 2019"
834,"March 16, 2018"
835,"March 6, 2018"
836,"October 3, 2018"
837,"May 2, 2020"
838,"January 15, 2017"
839,"March 10, 2017"
840,"August 25, 2017"
841,"August 7, 2020"
842,"June 8, 2019"
843,"October 15, 2016"
844,"September 1, 2017"
845,"September 1, 2017"
846,"March 17, 2020"
847,"August 24, 2018"
848,"February 22, 2019"
849,"December 30, 2020"
850,"February 23, 2018"
851,"June 6, 2019"
852,"December 31, 2020"
853,"October 3, 2020"
854,"March 18, 2017"
855,"October 19, 2018"
856,"May 24, 2020"
857,"March 25, 2020"
858,"February 9, 2020"
859,"August 16, 2019"
860,"June 1, 2017"
861,"January 12, 2020"
862,"July 1, 2016"
863,"December 3, 2020"
864,"September 20, 2019"
865,"April 6, 2019"
866,"July 21, 2019"
867,"June 20, 2019"
868,"October 1, 2017"
869,"November 15, 2018"
870,"November 15, 2020"
871,"October 10, 2019"
872,"December 15, 2017"
873,"April 28, 2020"
874,"April 1, 2017"
875,"April 15, 2018"
876,"October 27, 2017"
877,"August 14, 2020"
878,"August 10, 2018"
879,"April 1, 2018"
880,"December 4, 2020"
881,"April 15, 2017"
882,"December 31, 2019"
883,"September 10, 2020"
884,"September 10, 2020"
885,"September 19, 2020"
886,"March 1, 2020"
887,"January 29, 2019"
888,"August 16, 2018"
889,"May 10, 2019"
890,"April 25, 2020"
891,"October 22, 2017"
892,"December 31, 2019"
893,"December 1, 2017"
894,"April 15, 2017"
895,"April 15, 2017"
896,"April 15, 2017"
897,"December 27, 2017"
898,"May 8, 2019"
899,"January 1, 2016"
900,"February 28, 2018"
901,"October 1, 2020"
902," July 26, 2019"
903,"January 15, 2020"
904,"June 18, 2019"
905,"September 30, 2018"
906,"December 4, 2020"
907,"June 5, 2020"
908,"April 1, 2018"
909,"November 2, 2019"
910,"October 8, 2020"
911,"April 18, 2017"
912,"January 26, 2019"
913,"November 20, 2019"
914,"December 5, 2014"
915,"November 10, 2017"
916,"September 10, 2019"
917,"January 31, 2017"
918,"June 30, 2018"
919,"December 31, 2018"
920,"December 31, 2018"
921,"December 31, 2018"
922,"December 31, 2018"
923,"December 31, 2018"
924,"May 11, 2018"
925,"April 25, 2018"
926,"April 1, 2018"
927,"February 1, 2019"
928,"February 28, 2019"
929,"November 1, 2019"
930,"March 15, 2018"
931,"August 20, 2020"
932,"August 15, 2018"
933,"April 28, 2020"
934,"December 21, 2018"
935,"September 25, 2019"
936,"March 26, 2018"
937,"June 28, 2018"
938,"March 11, 2018"
939,"September 2, 2017"
940," May 26, 2016"
941,"March 29, 2019"
942,"April 25, 2020"
943,"July 5, 2020"
944,"September 19, 2020"
945,"October 24, 2020"
946,"July 12, 2019"
947,"September 30, 2020"
948,"April 30, 2018"
949,"January 25, 2019"
950,"November 19, 2020"
951,"January 1, 2019"
952,"October 12, 2018"
953,"December 15, 2020"
954,"March 17, 2020"
955,"June 1, 2016"
956,"June 5, 2019"
957,"December 28, 2018"
958,"October 15, 2019"
959,"September 4, 2018"
960,"July 2, 2017"
961,"February 16, 2019"
962,"August 9, 2017"
963,"November 20, 2019"
964,"July 1, 2017"
965,"June 14, 2019"
966,"April 11, 2019"
967,"May 1, 2020"
968,"October 14, 2020"
969,"December 15, 2017"
970,"May 19, 2017"
971,"August 30, 2020"
972,"November 10, 2017"
973,"April 21, 2020"
974,"October 15, 2016"
975,"October 15, 2016"
976,"April 11, 2020"
977,"October 13, 2017"
978,"October 15, 2016"
979,"December 1, 2018"
980,"January 15, 2021"
981,"February 8, 2017"
982,"December 27, 2019"
983,"January 24, 2018"
984,"July 14, 2018"
985,"May 20, 2020"
986,"March 26, 2020"
987,"July 5, 2020"
988,"October 27, 2020"
989,"October 10, 2018"
990,"June 21, 2019"
991,"May 26, 2017"
992,"March 13, 2020"
993,"October 1, 2019"
994,"July 12, 2019"
995,"September 1, 2020"
996,"August 26, 2016"
997,"March 8, 2019"
998,"December 6, 2016"
999,"March 1, 2016"
1000,"December 3, 2018"
1001,"February 25, 2019"
1002,"January 1, 2021"
1003,"July 5, 2018"
1004,"January 8, 2021"
1005,"December 31, 2017"
1006,"June 30, 2020"
1007,"March 1, 2019"
1008,"June 3, 2016"
1009,"July 1, 2018"
1010,"March 21, 2019"
1011,"June 18, 2019"
1012,"June 1, 2016"
1013,"December 17, 2015"
1014,"June 1, 2018"
1015,"December 8, 2020"
1016,"December 31, 2019"
1017,"December 31, 2020"
1018,"April 27, 2018"
1019,"December 1, 2018"
1020,"September 28, 2017"
1021,"September 14, 2018"
1022,"November 19, 2020"
1023,"July 16, 2019"
1024,"July 26, 2019"
1025,"October 25, 2019"
1026,"December 19, 2014"
1027,"June 22, 2017"
1028,"June 21, 2019"
1029,"April 15, 2019"
1030,"July 22, 2018"
1031,"October 12, 2017"
1032,"March 15, 2019"
1033,"July 5, 2020"
1034,"October 1, 2016"
1035,"May 31, 2018"
1036,"September 1, 2016"
1037,"November 11, 2017"
1038,"March 15, 2017"
1039," November 1, 2019"
1040,"September 22, 2019"
1041,"January 1, 2021"
1042,"July 12, 2019"
1043,"January 16, 2020"
1044,"September 1, 2020"
1045,"March 1, 2018"
1046,"October 2, 2019"
1047,"January 1, 2020"
1048," December 2, 2017"
1049,"March 6, 2018"
1050,"May 11, 2020"
1051,"September 1, 2020"
1052,"June 25, 2018"
1053,"April 8, 2020"
1054,"May 17, 2019"
1055,"May 17, 2019"
1056,"July 8, 2020"
1057,"December 31, 2017"
1058,"April 1, 2017"
1059,"July 5, 2020"
1060,"October 19, 2020"
1061,"October 2, 2019"
1062,"March 24, 2017"
1063,"May 28, 2020"
1064,"August 1, 2017"
1065,"April 28, 2020"
1066,"October 1, 2017"
1067,"April 2, 2019"
1068,"February 19, 2017"
1069,"August 1, 2019"
1070,"May 16, 2020"
1071,"August 15, 2017"
1072,"July 6, 2016"
1073," March 15, 2019"
1074,"June 22, 2018"
1075,"November 2, 2018"
1076,"April 19, 2019"
1077,"June 29, 2020"
1078,"October 21, 2020"
1079,"February 17, 2018"
1080,"December 15, 2017"
1081,"December 17, 2020"
1082,"February 15, 2020"
1083,"August 15, 2020"
1084,"December 3, 2020"
1085,"December 16, 2020"
1086,"November 19, 2020"
1087,"December 1, 2018"
1088,"October 23, 2019"
1089,"August 2, 2013"
1090,"December 15, 2017"
1091,"January 1, 2020"
1092,"July 1, 2017"
1093,"December 5, 2018"
1094,"April 19, 2019"
1095,"April 10, 2020"
1096,"November 21, 2017"
1097,"September 1, 2018"
1098,"February 27, 2019"
1099,"December 24, 2020"
1100,"December 25, 2020"
1101,"March 31, 2017"
1102,"December 22, 2017"
1103,"November 23, 2017"
1104,"August 4, 2018"
1105,"October 30, 2019"
1106,"August 29, 2017"
1107,"October 2, 2019"
1108,"November 27, 2017"
1109,"November 27, 2019"
1110,"December 1, 2016"
1111,"October 1, 2018"
1112,"November 22, 2019"
1113,"October 4, 2019"
1114,"September 1, 2017"
1115,"October 25, 2019"
1116,"November 28, 2018"
1117,"April 1, 2020"
1118,"November 15, 2016"
1119,"June 24, 2017"
1120,"July 1, 2017"
1121,"June 24, 2017"
1122,"November 5, 2018"
1123,"March 1, 2019"
1124,"April 1, 2018"
1125,"September 11, 2020"
1126,"February 15, 2019"
1127,"March 10, 2017"
1128,"July 14, 2017"
1129,"July 5, 2020"
1130,"April 12, 2019"
1131,"February 20, 2018"
1132,"June 24, 2020"
1133,"January 15, 2020"
1134,"March 7, 2018"
1135,"January 9, 2020"
1136,"June 1, 2019"
1137,"September 29, 2020"
1138,"November 27, 2018"
1139,"August 24, 2020"
1140,"March 31, 2018"
1141,"December 16, 2019"
1142,"June 1, 2017"
1143,"March 15, 2019"
1144,"April 1, 2017"
1145,"April 29, 2019"
1146,"November 6, 2019"
1147,"March 10, 2017"
1148," October 1, 2019"
1149,"November 24, 2017"
1150,"November 8, 2019"
1151,"August 26, 2017"
1152,"November 1, 2019"
1153,"November 13, 2018"
1154,"December 16, 2020"
